Season,Jul,Aug,Sep,Oct,Nov,Dec,Season Total Average
1877,0.0,0.0,0.0,0.86,0.45,3.93,5.24
1878,0.0,0.0,0.0,0.14,0.0,4.7,4.84
1879,0.0,0.0,0.0,0.93,3.44,6.53,10.9
1880,0.0,0.0,0.0,0.14,0.67,8.4,9.21
1881,0.0,0.0,0.0,0.82,0.27,0.52,1.6099999999999999
1882,0.0,0.0,0.0,0.05,1.82,0.08,1.9500000000000002
1883,0.0,0.0,0.0,1.42,0.0,2.56,3.98
1884,0.0,0.0,0.0,0.39,1.06,4.64,6.09
1885,0.0,0.0,0.0,0.26,5.52,1.63,7.409999999999999
1886,0.24,0.21,0.0,0.01,1.18,0.18,1.8199999999999998
1887,0.07,0.0,0.15,0.12,0.78,2.67,3.79
1888,0.03,0.08,0.0,0.36,4.01,6.26,10.739999999999998
1889,0.0,0.61,0.0,6.96,1.35,15.8,24.72
1890,0.0,0.03,0.06,0.03,0.13,2.32,2.57
1891,0.0,0.0,0.06,0.0,0.0,1.99,2.05
1892,0.0,0.01,0.0,0.33,4.4,4.18,8.92
1893,0.0,0.0,0.0,0.75,0.2,3.65,4.6
1894,0.0,0.01,0.73,0.02,0.0,4.62,5.38
1895,0.0,0.0,0.0,0.24,0.8,0.78,1.82
1896,0.02,0.01,0.0,1.3,1.66,2.12,5.11
1897,0.0,0.0,0.0,2.47,0.01,0.05,2.53
1898,0.07,0.0,0.02,0.09,0.0,0.12,0.3
1899,0.0,0.01,0.0,1.59,0.9,0.9,3.4
1900,0.0,0.0,0.0,0.26,6.53,0.0,6.79
1901,0.0,0.09,0.03,1.88,0.46,0.0,2.46
1902,0.0,0.0,0.0,0.4,2.08,2.5,4.98
1903,0.0,0.0,0.43,0.0,0.0,0.0,0.43
1904,0.0,0.17,0.28,0.69,0.0,2.45,3.5900000000000003
1905,0.0,0.0,0.0,0.08,2.98,0.2,3.2600000000000002
1906,0.02,0.03,0.05,0.0,0.85,5.12,6.07
1907,0.0,0.0,0.0,1.19,0.0,0.88,2.07
1908,0.0,0.08,1.22,0.25,1.08,1.46,4.09
1909,0.0,0.0,0.04,0.28,1.51,7.0,8.83
1910,0.04,0.0,0.01,0.82,0.15,0.07,1.09
1911,0.0,0.0,1.23,0.16,0.1,1.27,2.76
1912,0.0,0.0,0.0,0.56,0.35,0.03,0.9400000000000001
1913,0.0,0.0,0.03,0.0,3.0,1.66,4.6899999999999995
1914,0.01,0.0,0.0,0.31,0.2,3.73,4.25
1915,0.0,0.0,0.0,0.0,1.35,2.52,3.87
1916,0.0,0.0,0.77,2.71,0.09,3.67,7.24
1917,0.0,0.0,0.0,0.0,0.36,0.07,0.43
1918,0.09,0.03,0.55,0.0,1.85,1.54,4.0600000000000005
1919,0.0,0.0,1.29,0.56,0.46,1.99,4.3
1920,0.0,0.0,0.04,0.76,1.15,1.01,2.96
1921,0.0,0.0,0.62,0.59,0.05,7.9,9.16
1922,0.0,0.0,0.0,0.24,1.44,3.09,4.77
1923,0.0,0.0,0.55,0.04,0.04,0.8,1.4300000000000002
1924,0.0,0.0,0.0,0.63,1.14,1.1,2.87
1925,0.0,0.0,0.0,0.74,0.68,2.45,3.87
1926,0.0,0.0,0.0,,3.4,1.15,4.55
1927,0.0,0.0,0.0,2.04,0.61,3.09,5.74
1928,0.0,0.0,0.0,0.29,1.67,2.7,4.66
1929,0.0,0.0,0.32,0.0,0.0,0.0,0.32
1930,0.0,0.0,0.01,0.1,1.71,0.0,1.82
1931,0.0,0.02,0.24,0.06,1.95,5.95,8.22
1932,0.0,0.0,0.14,0.215,0.0,2.1,2.455
1933,0.0,0.013333333333333334,0.0,0.39000000000000007,0.02,7.483333333333333,7.906666666666667
1934,0.035,0.01,0.09999999999999999,1.9066666666666665,2.8266666666666667,3.563333333333333,8.441666666666666
1935,0.0,0.13333333333333333,0.006666666666666667,0.10666666666666667,1.4366666666666668,0.5466666666666666,2.23
1936,0.006666666666666667,0.043333333333333335,0.015,1.7633333333333334,0.15,6.076666666666667,8.055
1937,0.0,0.0,0.0,0.005,0.0,2.9333333333333336,2.9383333333333335
1938,0.0,0.0,0.01,0.043333333333333335,0.0,6.766666666666667,6.82
1939,0.0,0.0033333333333333335,5.178,0.296,0.146,0.62,6.243333333333333
1940,0.0,0.0,0.002,1.4933333333333334,0.4216666666666667,7.281666666666666,9.198666666666666
1941,0.013333333333333334,0.04,0.0,1.6683333333333332,0.08333333333333333,5.128333333333333,6.933333333333333
1942,0.0,0.38166666666666665,0.002,0.85,0.41333333333333333,1.2483333333333333,2.8953333333333333
1943,0.0,0.0,0.004,0.2866666666666667,0.10600000000000001,6.918333333333334,7.315
1944,0.0,0.0,0.017142857142857144,0.049999999999999996,4.621428571428572,0.9371428571428572,5.6257142857142854
1945,0.0,0.15142857142857144,0.0,0.6242857142857143,0.27285714285714285,5.319999999999999,6.368571428571428
1946,0.004285714285714286,0.0,0.038571428571428576,0.982857142857143,7.791428571428571,4.085714285714286,12.902857142857144
1947,0.0,0.038571428571428576,0.07571428571428572,0.1385714285714286,0.12000000000000001,1.5285714285714285,1.9014285714285712
1948,0.0,0.0,0.0,0.2022222222222222,0.005555555555555556,2.531111111111111,2.738888888888889
1949,0.0,0.006363636363636364,0.0018181818181818182,0.03272727272727273,1.3872727272727272,3.078181818181818,4.506363636363636
1950,0.03363636363636364,0.0,0.31363636363636366,0.26545454545454544,1.0572727272727274,0.04363636363636363,1.7136363636363638
1951,0.0009090909090909091,0.12272727272727274,0.0018181818181818182,0.5381818181818182,1.09,5.11,6.863636363636364
1952,0.002727272727272727,0.0009090909090909091,0.07,0.0009090909090909091,3.4681818181818183,3.477272727272727,7.02
1953,0.008,0.0,0.0,0.001,1.272,0.139,1.42
1954,0.001,0.004,0.0,0.0,1.7109999999999999,0.986,2.702
1955,0.001,0.024,0.0,0.001,1.427,1.5,2.9530000000000003
1956,0.0,0.002,0.0,0.261,0.0,0.21600000000000003,0.47900000000000004
1957,0.003,0.0,0.0,1.5433333333333332,0.5222222222222223,3.576666666666666,5.6452222222222215
1958,0.0,0.097,0.153,0.3,0.082,0.007000000000000001,0.639
1959,0.0,0.0,0.128,0.006,0.031,1.527,1.692
1960,0.004,0.0,0.002,0.025,3.044,0.127,3.202
1961,0.001,0.242,0.031,0.001,2.039,1.7,4.014
1962,0.0,0.0,0.0,0.128,0.005,0.02,0.153
1963,0.0,0.05,1.4318181818181819,0.6954545454545454,2.5999999999999996,0.02909090909090909,4.806363636363637
1964,0.0,0.0009090909090909091,0.005454545454545455,0.36727272727272725,1.8345454545454545,1.848181818181818,4.056363636363636
1965,0.06636363636363637,0.10272727272727272,0.5763636363636363,0.0,10.068181818181818,5.2290909090909095,16.042727272727273
1966,0.004,0.001,0.2,0.03090909090909091,3.3454545454545452,4.366363636363636,7.947727272727272
1967,0.0,0.0,0.519090909090909,0.0,7.2727272727272725,1.3536363636363637,9.145454545454545
1968,0.024,0.11499999999999999,0.003,0.3855555555555556,0.376,1.29,2.1935555555555557
1969,0.077,0.0,0.004,0.001,1.468,0.09,1.6400000000000001
1970,0.0,0.0,0.0,0.034999999999999996,6.077,4.909000000000001,11.021
1971,0.0,0.0,0.052000000000000005,0.33399999999999996,0.28500000000000003,7.018000000000001,7.689000000000001
1972,0.0,0.219,0.033999999999999996,0.32399999999999995,3.4899999999999998,1.661,5.728
1973,0.0,0.011,0.006,0.153,1.7225,0.8400000000000001,2.7325
1974,0.07090909090909091,0.0,0.0,0.7645454545454545,0.04818181818181819,4.147272727272727,5.030909090909091
1975,0.0009090909090909091,0.0009090909090909091,0.03909090909090909,0.2781818181818182,0.07727272727272727,0.22090909090909092,0.6172727272727273
1976,0.012727272727272726,0.08636363636363636,2.5636363636363635,0.7472727272727273,0.646,0.6854545454545454,4.741454545454546
1977,0.0,2.359090909090909,0.007272727272727273,0.00818181818181818,0.09,4.663,7.127545454545455
1978,0.018181818181818184,0.030909090909090907,0.7654545454545455,0.1190909090909091,1.7436363636363637,1.377,4.0542727272727275
1979,0.0,0.005454545454545455,0.031818181818181815,0.4772727272727273,0.3518181818181818,0.629090909090909,1.4954545454545454
1980,0.010909090909090908,0.0,0.0,0.0018181818181818182,0.0,0.990909090909091,1.0036363636363637
1981,0.0,0.0,0.06636363636363636,0.46636363636363637,2.01,0.629090909090909,3.1718181818181814
1982,0.0,0.006363636363636364,1.0230000000000001,0.2736363636363637,3.5481818181818183,1.0263636363636364,5.877545454545455
1983,0.0,1.1863636363636365,1.36,1.4572727272727273,2.5290909090909093,3.0009090909090905,9.533636363636363
1984,0.06818181818181818,0.21363636363636365,0.2581818181818182,0.18363636363636363,1.7845454545454544,5.382727272727273,7.890909090909091
1985,0.010909090909090908,0.0,0.18999999999999997,0.35454545454545455,3.838181818181818,0.4254545454545454,4.819090909090909
1986,0.11181818181818182,0.0,1.3472727272727274,0.5236363636363637,1.1072727272727272,0.37999999999999995,3.4699999999999998
1987,0.08181818181818182,0.030000000000000002,0.07727272727272728,3.166363636363636,1.5718181818181818,2.923636363636364,7.850909090909091
1988,0.0018181818181818182,0.06909090909090909,0.04818181818181819,0.0018181818181818182,1.1036363636363637,4.05,5.274545454545454
1989,0.0,0.0,0.43818181818181823,0.44181818181818183,0.3018181818181818,0.0,1.1818181818181819
1990,0.0,0.09727272727272727,0.018181818181818184,0.0,0.35545454545454547,0.05272727272727273,0.5236363636363637
1991,0.1309090909090909,0.020999999999999998,0.060000000000000005,0.39999999999999997,0.02181818181818182,3.4990909090909095,4.132818181818182
1992,0.25636363636363635,0.0,0.0,0.9279999999999999,0.08181818181818182,5.589,6.855181818181818
1993,0.0,0.0,0.0008333333333333334,0.17090909090909093,0.765,1.0541666666666667,1.990909090909091
1994,0.0,0.0,0.01,0.4761538461538461,0.655,1.1707692307692308,2.311923076923077
1995,0.03538461538461539,0.0,0.0038461538461538464,0.0015384615384615385,0.2153846153846154,1.5530769230769232,1.8092307692307694
1996,0.009230769230769232,0.014615384615384615,0.0015384615384615385,1.2038461538461538,1.6192307692307693,4.994166666666667,7.8426282051282055
1997,0.045384615384615384,0.0,0.5253846153846153,0.02307692307692308,2.382307692307692,4.357692307692307,7.333846153846153
1998,0.002857142857142857,0.08466666666666667,0.14733333333333334,0.028666666666666667,1.294,0.50625,2.0637738095238096
1999,0.11705882352941177,0.0,0.003125,0.0,0.28470588235294114,0.176875,0.581764705882353
2000,0.002777777777777778,0.06666666666666667,0.1527777777777778,1.4166666666666667,0.0411764705882353,0.019411764705882354,1.699477124183007
2001,0.023157894736842106,0.0,0.006666666666666667,0.08666666666666667,1.6183333333333332,1.1258823529411766,2.8607069143446853
2002,0.10263157894736842,0.03894736842105263,0.08789473684210526,0.022105263157894735,1.739473684210526,2.372777777777778,4.363830409356725
2003,0.060000000000000005,0.007894736842105263,0.00368421052631579,0.2905263157894737,0.5005263157894737,1.4689473684210526,2.331578947368421
2004,0.0,0.0,0.005263157894736842,5.127368421052632,0.5731578947368421,6.812105263157895,12.517894736842106
2005,0.010526315789473684,0.016842105263157894,0.25157894736842107,1.4073684210526316,0.3068421052631579,0.8184210526315789,2.811578947368421
2006,0.02315789473684211,0.002631578947368421,0.002105263157894737,0.08842105263157896,0.1936842105263158,0.6005263157894737,0.9105263157894737
2007,0.01368421052631579,0.009473684210526315,0.661578947368421,0.4594736842105263,0.7336842105263157,1.4047368421052633,3.2826315789473686
2008,0.021578947368421055,0.0015789473684210526,0.007368421052631578,0.052105263157894745,1.891578947368421,2.6894736842105265,4.663684210526316
2009,0.003684210526315789,0.14894736842105263,0.0015789473684210526,1.0626315789473686,0.027894736842105264,2.668421052631579,3.913157894736842
2010,0.024210526315789474,0.00368421052631579,0.00736842105263158,1.7257894736842105,0.7810526315789473,9.238947368421051,11.781052631578946
2011,0.017,0.007000000000000001,0.026000000000000002,0.859,1.688,0.8240000000000001,3.4210000000000003
2012,0.0165,0.0095,0.00631578947368421,0.25,0.9630000000000001,2.1414999999999997,3.386815789473684
2013,0.0305,0.005,0.006,0.1895,0.653,0.333,1.217
2014,0.009000000000000001,0.1565,0.072,0.157,0.6054999999999999,4.378500000000001,5.378500000000001
2015,0.705,0.0,1.3215,0.3055,0.1585,0.765,3.2555
2016,0.0,0.0,0.008,0.357,0.9625,3.7455,5.073
2017,0.0015,0.0705,0.08449999999999999,0.018,0.07549999999999998,0.004210526315789474,0.25421052631578944
2018,0.012105263157894735,0.0,0.0005263157894736842,0.493,1.455,2.2885,4.2491315789473685
2019,0.006842105263157895,0.0,0.0295,0.0005,2.1544999999999996,4.6770000000000005,6.868342105263158
2020,0.0,0.0,0.0010526315789473684,0.004999999999999999,0.11599999999999999,1.2755,1.3975526315789475
2021,0.09352941176470589,0.012222222222222223,0.009444444444444443,0.645,0.0044444444444444444,7.584444444444445,8.349084967320263
2022,0.0005,0.0,0.4285,0.156,1.955,3.1025,5.6425
2023,0.0,3.8268421052631583,0.14947368421052631,0.02736842105263158,0.4794736842105263,2.9110526315789476,7.39421052631579
2024,0.0005,0.001,0.006,0.0175,0.0735,0.043,0.14150000000000001
