ZIP Code,YoY Growth 2024,Total Policies 2024,YoY Growth 2023,Total Policies 2023,YoY Growth 2022,Total Policies 2022,YoY Growth 2021,Total Policies 2021,Total Policies 2020
95467,30.60%,286,49.00%,219,116.20%,147,88.90%,68,36
95485,42.20%,145,59.40%,102,14.30%,64,33.30%,56,42
95493,75.00%,21,71.40%,12,40.00%,7,0.00%,5,5
97635,50.00%,3,0.00%,2,0.00%,2,0.00%,2,
96009,0.00%,6,0.00%,,0.00%,,0.00%,,
96056,7.30%,51,205.60%,55,28.60%,18,133.30%,14,6
96109,76.90%,23,7.10%,13,75.00%,14,60.00%,8,5
96113,180.00%,14,0.00%,5,0.00%,,0.00%,,
96114,120.60%,225,61.90%,102,40.00%,63,15.40%,45,39
96117,0.00%,5,0.00%,,100.00%,,0.00%,1,
96119,50.00%,1,50.00%,2,33.30%,4,200.00%,3,1
96121,100.00%,22,57.10%,11,40.00%,7,66.70%,5,3
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
96123,0.00%,,0.00%,,0.00%,,100.00%,,1
96128,25.00%,5,100.00%,4,0.00%,2,0.00%,,
96130,131.30%,444,100.00%,192,20.00%,96,40.40%,80,57
96132,100.00%,2,0.00%,1,0.00%,,0.00%,,
96136,0.00%,1,100.00%,,0.00%,1,0.00%,,
90001,3.50%,1673,1.00%,1734,3.40%,1752,2.50%,1814,1860
90002,1.80%,1106,3.80%,1126,3.20%,1170,5.10%,1209,1274
90003,3.20%,1597,0.80%,1547,3.90%,1560,5.60%,1623,1719
90004,5.30%,339,4.50%,322,7.80%,308,7.00%,334,359
90005,38.20%,94,0.00%,68,11.70%,68,5.50%,77,73
90006,3.70%,472,0.20%,455,7.10%,456,4.30%,491,513
90007,0.30%,370,10.40%,371,4.40%,414,4.60%,433,454
90008,5.10%,208,0.00%,198,6.20%,198,8.30%,211,230
90011,0.40%,2398,1.30%,2408,6.00%,2440,4.50%,2597,2719
90012,17.60%,87,7.20%,74,12.70%,69,12.90%,79,70
90013,80.00%,9,25.00%,5,20.00%,4,66.70%,5,3
90014,0.00%,5,0.00%,,0.00%,,0.00%,,
90015,0.00%,78,2.60%,78,18.80%,76,5.90%,64,68
90016,2.60%,553,1.00%,568,7.40%,574,7.60%,620,671
90017,58.30%,19,14.30%,12,16.70%,14,9.10%,12,11
90018,1.00%,883,2.00%,892,6.90%,910,5.10%,977,1029
90019,6.70%,605,0.20%,567,6.60%,568,9.80%,608,674
90020,53.80%,40,8.30%,26,14.30%,24,25.00%,21,28
90021,7.70%,14,18.20%,13,0.00%,11,0.00%,11,11
90022,0.30%,1057,3.10%,1060,5.90%,1094,4.70%,1163,1220
90023,2.40%,1017,3.10%,1042,5.30%,1075,2.90%,1135,1169
90024,105.10%,80,21.90%,39,3.20%,32,8.80%,31,34
90025,46.20%,57,7.10%,39,10.60%,42,2.10%,47,48
90026,0.50%,729,1.20%,733,5.20%,742,4.70%,783,822
90027,13.90%,319,15.20%,280,2.80%,243,7.80%,250,232
90028,0.00%,33,8.30%,33,7.70%,36,2.60%,39,38
90029,2.50%,242,6.30%,236,2.20%,222,16.50%,227,272
90031,0.70%,705,3.30%,710,8.30%,687,3.10%,749,773
90032,0.30%,590,0.50%,592,4.80%,589,7.10%,619,666
90033,5.80%,650,1.40%,690,6.00%,700,4.50%,745,780
90034,1.10%,90,3.30%,89,2.10%,92,11.30%,94,106
90035,44.20%,75,13.30%,52,3.40%,60,4.90%,58,61
90036,24.70%,96,14.90%,77,6.30%,67,7.40%,63,68
90037,0.40%,1355,1.20%,1360,5.50%,1377,3.60%,1457,1512
90038,12.90%,114,4.70%,101,5.40%,106,10.40%,112,125
90039,1.80%,331,4.20%,325,7.10%,312,3.40%,336,348
90040,0.60%,157,5.40%,158,1.80%,167,4.00%,170,177
90041,18.30%,271,2.60%,229,2.10%,235,3.20%,240,248
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
90042,5.90%,823,1.00%,777,3.10%,785,6.70%,810,868
90043,3.70%,616,2.30%,594,5.90%,608,7.60%,646,699
90044,1.50%,1724,0.90%,1699,4.30%,1714,6.30%,1791,1912
90045,23.30%,37,7.10%,30,6.70%,28,0.00%,30,30
90046,1.30%,1979,7.70%,2006,12.40%,1862,11.40%,1656,1487
90047,9.60%,870,2.60%,794,6.00%,815,6.70%,867,929
90048,59.70%,99,1.60%,62,16.00%,63,5.10%,75,79
90049,47.50%,1600,10.30%,1085,20.70%,984,23.30%,815,661
90056,47.10%,25,13.30%,17,11.80%,15,29.20%,17,24
90057,17.80%,60,1.40%,73,7.50%,72,10.70%,67,75
90058,8.50%,43,7.80%,47,3.80%,51,0.00%,53,53
90059,1.60%,665,5.50%,676,4.50%,715,4.50%,749,784
90061,2.40%,438,3.60%,449,1.10%,466,2.70%,471,484
90062,1.50%,796,0.10%,808,8.10%,809,5.80%,880,934
90063,0.20%,1327,3.10%,1330,5.30%,1372,4.00%,1449,1510
90064,40.00%,63,2.20%,45,13.20%,46,1.90%,53,54
90065,9.50%,830,2.00%,758,2.00%,743,5.10%,758,799
90066,37.90%,91,4.80%,66,13.70%,63,1.40%,73,72
90067,300.00%,8,0.00%,2,33.30%,2,50.00%,3,2
90068,10.60%,1341,9.90%,1213,8.00%,1104,7.00%,1022,955
90069,26.80%,341,5.90%,269,22.70%,254,7.30%,207,193
90071,100.00%,,0.00%,1,0.00%,1,0.00%,,
90077,12.40%,1799,6.90%,1601,13.60%,1498,23.50%,1319,1068
90089,20.00%,4,28.60%,5,12.50%,7,0.00%,8,8
90094,200.00%,6,0.00%,2,100.00%,2,0.00%,1,
90095,100.00%,,0.00%,1,0.00%,1,0.00%,,
90201,9.30%,1038,1.10%,950,3.40%,940,2.10%,973,994
90210,4.90%,2221,10.10%,2118,19.80%,1923,26.50%,1605,1269
90211,42.90%,50,16.70%,35,6.30%,30,8.60%,32,35
90212,65.20%,38,21.10%,23,11.80%,19,13.30%,17,15
90220,2.80%,616,0.50%,599,5.30%,602,5.40%,636,672
90221,0.10%,750,1.10%,751,8.60%,759,5.70%,830,880
90222,5.70%,530,2.90%,562,5.90%,579,5.80%,615,653
90230,29.60%,70,5.90%,54,2.00%,51,7.40%,50,54
90232,0.00%,41,10.80%,41,11.90%,37,6.70%,42,45
90240,19.60%,128,3.60%,107,2.60%,111,3.40%,114,118
90241,7.50%,129,3.40%,120,5.70%,116,6.80%,123,132
90242,10.60%,167,0.70%,151,7.30%,152,3.50%,164,170
90245,175.00%,11,0.00%,4,20.00%,4,0.00%,5,5
90247,3.20%,195,3.30%,189,9.00%,183,3.40%,201,208
90248,18.20%,52,2.30%,44,10.30%,43,11.40%,39,44
90249,26.80%,90,0.00%,71,5.30%,71,16.70%,75,90
90250,8.10%,322,0.70%,298,8.60%,296,8.00%,324,352
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
90254,76.50%,30,30.80%,17,7.10%,13,7.70%,14,13
90255,0.70%,1006,1.50%,999,4.70%,984,4.10%,1033,1077
90260,7.70%,140,4.40%,130,6.20%,136,6.50%,145,155
90262,0.50%,769,0.40%,773,4.10%,770,2.00%,803,819
90265,22.30%,2366,14.00%,1935,16.50%,1698,30.60%,1457,1116
90266,59.40%,51,10.30%,32,16.00%,29,13.80%,25,29
90270,2.40%,332,2.00%,340,3.30%,347,3.80%,359,373
90272,85.00%,1430,19.50%,773,22.80%,647,46.40%,527,360
90274,75.00%,133,55.10%,76,19.50%,49,7.90%,41,38
90275,130.90%,157,17.20%,68,3.30%,58,0.00%,60,60
90277,30.20%,56,10.30%,43,7.10%,39,0.00%,42,42
90278,26.50%,43,21.40%,34,7.70%,28,16.10%,26,31
90280,9.80%,1116,2.10%,1016,3.70%,1038,2.10%,1078,1101
90290,0.40%,1915,6.20%,1922,3.70%,1810,11.10%,1746,1572
90291,11.90%,141,3.30%,126,6.20%,122,6.50%,130,139
90292,163.60%,29,21.40%,11,7.70%,14,7.10%,13,14
90293,145.50%,27,37.50%,11,0.00%,8,14.30%,8,7
90301,0.80%,250,0.80%,252,8.10%,250,3.20%,272,281
90302,1.90%,210,0.00%,214,4.90%,214,5.50%,225,238
90303,20.20%,238,0.50%,198,10.40%,199,3.50%,222,230
90304,3.90%,270,0.40%,281,7.50%,282,5.90%,305,324
90305,20.00%,114,4.00%,95,4.80%,99,10.30%,104,116
90401,0.00%,3,0.00%,3,100.00%,,66.70%,1,3
90402,128.20%,89,44.40%,39,3.80%,27,4.00%,26,25
90403,36.00%,34,0.00%,25,21.90%,25,28.00%,32,25
90404,40.00%,42,3.20%,30,6.10%,31,10.00%,33,30
90405,5.30%,60,11.80%,57,2.00%,51,2.00%,50,51
90501,18.90%,113,0.00%,95,5.90%,95,3.10%,101,98
90502,33.30%,56,2.30%,42,2.30%,43,2.30%,44,43
90503,76.20%,37,5.00%,21,0.00%,20,13.00%,20,23
90504,76.20%,37,16.70%,21,18.20%,18,0.00%,22,22
90505,94.70%,37,0.00%,19,5.60%,19,5.30%,18,19
90601,27.60%,365,7.90%,286,4.30%,265,2.40%,254,248
90602,18.10%,170,0.00%,144,3.40%,144,5.70%,149,158
90603,38.80%,68,16.70%,49,2.30%,42,30.30%,43,33
90604,1.00%,102,7.30%,103,5.90%,96,3.00%,102,99
90605,0.40%,232,0.90%,233,4.50%,235,0.40%,246,247
90606,5.80%,195,0.00%,207,5.50%,207,6.40%,219,234
90638,43.40%,109,18.80%,76,1.50%,64,12.20%,65,74
90640,6.30%,319,0.30%,300,4.50%,299,7.90%,313,340
90650,13.50%,445,0.30%,392,3.20%,391,8.60%,404,442
90660,0.80%,402,0.00%,399,8.90%,399,3.50%,438,454
90670,0.00%,47,14.60%,47,4.70%,41,2.30%,43,44
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
90701,16.90%,76,7.10%,65,2.80%,70,1.40%,72,73
90703,62.70%,96,28.30%,59,19.30%,46,8.10%,57,62
90704,2.70%,263,26.70%,256,49.60%,202,42.10%,135,95
90706,18.30%,258,1.80%,218,6.30%,222,5.20%,237,250
90710,53.10%,98,10.30%,64,0.00%,58,0.00%,58,58
90712,26.20%,53,31.30%,42,13.50%,32,15.90%,37,44
90713,4.00%,26,7.40%,25,3.60%,27,3.70%,28,27
90715,5.50%,77,9.00%,73,10.70%,67,7.40%,75,81
90716,3.80%,77,1.30%,80,9.20%,79,2.20%,87,89
90717,10.50%,63,1.70%,57,4.90%,58,6.20%,61,65
90723,13.10%,327,1.80%,289,6.30%,284,6.50%,303,324
90731,13.10%,259,9.60%,229,5.40%,209,9.40%,221,244
90732,147.10%,42,6.30%,17,5.90%,16,19.00%,17,21
90744,1.20%,342,2.30%,338,5.70%,346,8.90%,367,403
90745,19.50%,202,3.70%,169,11.90%,163,10.60%,185,207
90746,26.30%,197,5.40%,156,0.00%,148,5.70%,148,140
90755,3.30%,31,20.00%,30,4.20%,25,17.20%,24,29
90802,54.20%,91,7.30%,59,8.30%,55,7.70%,60,65
90803,151.70%,73,16.00%,29,4.20%,25,0.00%,24,24
90804,0.80%,120,6.10%,121,6.60%,114,6.20%,122,130
90805,0.20%,476,1.30%,477,4.80%,471,8.70%,495,542
90806,2.80%,220,0.00%,214,4.50%,214,2.60%,224,230
90807,36.70%,67,9.30%,49,10.00%,54,6.30%,60,64
90808,50.00%,33,15.80%,22,0.00%,19,18.80%,19,16
90810,9.60%,206,2.60%,188,3.50%,193,7.80%,200,217
90813,0.80%,252,2.00%,250,3.80%,255,4.70%,265,278
90814,63.30%,49,0.00%,30,14.30%,30,10.30%,35,39
90815,83.30%,22,40.00%,12,13.00%,20,9.50%,23,21
91001,28.80%,958,14.30%,744,0.90%,651,1.90%,657,670
91006,67.40%,293,28.70%,175,6.20%,136,3.30%,145,150
91007,62.40%,138,18.10%,85,2.70%,72,0.00%,74,74
91008,21.80%,123,12.20%,101,6.30%,90,6.70%,96,90
91010,52.90%,260,5.60%,170,5.80%,161,9.50%,171,189
91011,70.30%,807,20.30%,474,7.90%,394,0.00%,365,365
91016,47.70%,489,18.60%,331,4.10%,279,3.60%,291,302
91020,78.40%,66,27.60%,37,7.40%,29,8.00%,27,25
91024,20.90%,394,6.20%,326,6.10%,307,5.80%,327,347
91030,40.30%,202,20.00%,144,4.80%,120,3.10%,126,130
91040,42.80%,704,16.00%,493,0.50%,425,1.40%,427,421
91042,34.00%,1010,13.60%,754,4.50%,664,2.10%,695,710
91101,8.20%,53,32.40%,49,5.70%,37,10.30%,35,39
91103,10.30%,342,11.90%,310,0.70%,277,0.40%,279,280
91104,24.90%,266,2.70%,213,1.90%,219,8.90%,215,236
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
91105,27.50%,260,19.30%,204,18.80%,171,15.20%,144,125
91106,22.20%,88,4.30%,72,0.00%,69,5.50%,69,73
91107,62.10%,457,9.70%,282,5.50%,257,5.00%,272,259
91108,67.20%,97,1.80%,58,11.80%,57,7.30%,51,55
91201,63.50%,170,9.50%,104,5.00%,95,5.70%,100,106
91202,71.70%,261,16.00%,152,1.60%,131,5.10%,129,136
91203,25.00%,45,20.00%,36,16.70%,30,14.30%,36,42
91204,13.30%,51,9.80%,45,16.30%,41,3.90%,49,51
91205,14.70%,109,1.00%,95,5.90%,96,8.90%,102,112
91206,12.00%,709,10.70%,633,0.30%,572,1.20%,574,567
91207,90.90%,273,19.20%,143,6.20%,120,0.90%,113,114
91208,54.30%,753,20.80%,488,2.80%,404,4.80%,393,413
91214,97.10%,684,33.50%,347,1.60%,260,10.50%,256,286
91301,79.30%,1151,34.60%,642,16.30%,477,28.10%,410,320
91302,75.40%,1922,24.80%,1096,15.10%,878,28.20%,763,595
91303,13.20%,86,1.30%,76,6.30%,75,6.70%,80,75
91304,57.40%,614,15.70%,390,3.40%,337,9.00%,326,299
91306,30.60%,209,8.10%,160,3.90%,148,5.50%,154,163
91307,64.00%,546,22.00%,333,37.90%,273,1.50%,198,195
91311,84.50%,679,16.50%,368,10.90%,316,15.90%,285,246
91316,155.20%,495,25.20%,194,7.60%,155,30.90%,144,110
91321,122.60%,797,52.30%,358,12.40%,235,34.00%,209,156
91324,40.00%,91,10.20%,65,6.30%,59,7.40%,63,68
91325,39.80%,151,10.20%,108,4.90%,98,7.30%,103,96
91326,135.20%,602,62.00%,256,3.90%,158,10.10%,152,138
91330,0.00%,,0.00%,,0.00%,,100.00%,,1
91331,9.30%,980,4.70%,897,1.70%,857,5.90%,872,927
91335,22.50%,441,6.20%,360,2.90%,339,4.90%,349,367
91340,16.80%,389,5.40%,333,4.00%,316,7.10%,329,354
91342,39.60%,1681,26.20%,1204,2.10%,954,4.80%,934,891
91343,17.70%,246,12.40%,209,3.10%,186,1.50%,192,195
91344,58.70%,519,12.80%,327,0.30%,290,1.40%,289,293
91345,27.50%,139,12.40%,109,6.70%,97,7.10%,104,112
91350,119.10%,585,36.90%,267,6.00%,195,30.50%,184,141
91351,131.20%,511,50.30%,221,0.70%,147,23.30%,148,120
91352,19.30%,679,7.20%,569,4.00%,531,3.50%,553,573
91354,282.00%,382,85.20%,100,12.50%,54,14.30%,48,42
91355,463.20%,107,90.00%,19,0.00%,10,0.00%,10,10
91356,160.40%,802,26.70%,308,6.60%,243,20.00%,228,190
91364,95.10%,948,35.80%,486,0.80%,358,26.30%,355,281
91367,122.80%,303,15.30%,136,0.80%,118,2.50%,119,122
91381,185.50%,551,39.90%,193,34.00%,138,22.60%,103,84
91384,41.60%,1592,20.00%,1124,45.00%,937,25.70%,646,514
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
91387,104.40%,1429,45.00%,699,10.30%,482,35.30%,437,323
91390,48.60%,1288,11.90%,867,11.00%,775,21.40%,698,575
91401,39.70%,162,6.40%,116,6.80%,109,8.60%,117,128
91402,24.30%,292,2.10%,235,2.00%,240,3.90%,245,255
91403,36.00%,604,20.30%,444,19.00%,369,20.60%,310,257
91405,8.90%,171,6.10%,157,1.30%,148,8.50%,150,164
91406,18.10%,202,3.40%,171,4.80%,177,6.10%,186,198
91411,44.70%,68,0.00%,47,16.10%,47,1.80%,56,55
91423,18.60%,656,15.20%,553,16.80%,480,25.70%,411,327
91436,122.80%,655,36.70%,294,20.10%,215,49.20%,179,120
91501,75.50%,244,3.70%,139,2.90%,134,2.10%,138,141
91502,25.00%,15,20.00%,12,11.10%,10,18.20%,9,11
91504,81.50%,285,23.60%,157,3.80%,127,6.50%,132,124
91505,37.70%,95,4.50%,69,10.80%,66,5.10%,74,78
91506,34.60%,70,10.60%,52,9.30%,47,4.40%,43,45
91601,3.10%,131,1.60%,127,5.80%,129,2.80%,137,141
91602,103.70%,55,35.00%,27,5.30%,20,0.00%,19,19
91604,28.40%,777,9.60%,605,15.00%,552,31.90%,480,364
91605,9.60%,321,4.30%,293,6.30%,281,6.50%,300,321
91606,6.30%,237,4.30%,223,9.70%,233,4.50%,258,247
91607,81.30%,58,17.90%,32,8.30%,39,10.00%,36,40
91702,36.20%,418,10.40%,307,4.10%,278,2.40%,290,297
91706,7.30%,515,1.70%,480,7.10%,472,8.60%,508,556
91711,73.10%,232,28.80%,134,1.00%,104,10.50%,105,95
91722,19.60%,134,2.80%,112,9.20%,109,4.80%,120,126
91723,45.50%,48,3.10%,33,3.20%,32,16.20%,31,37
91724,26.80%,156,10.80%,123,2.60%,111,0.90%,114,115
91731,12.30%,192,4.90%,171,2.40%,163,2.90%,167,172
91732,16.40%,354,2.00%,304,1.30%,298,9.90%,302,335
91733,3.00%,274,6.00%,266,4.60%,251,3.70%,263,273
91740,75.00%,112,16.40%,64,7.80%,55,12.10%,51,58
91741,56.60%,418,24.80%,267,3.40%,214,6.70%,207,194
91744,11.70%,676,1.30%,605,7.30%,597,3.20%,644,665
91745,45.70%,599,10.20%,411,1.90%,373,3.10%,366,355
91746,6.80%,250,6.40%,234,3.50%,220,2.60%,228,234
91748,84.60%,419,23.40%,227,2.20%,184,5.90%,180,170
91750,125.40%,480,32.30%,213,15.80%,161,3.00%,139,135
91754,16.70%,119,10.90%,102,7.10%,92,1.00%,99,100
91755,36.80%,104,22.60%,76,3.10%,62,0.00%,64,64
91765,72.30%,984,17.50%,571,6.80%,486,24.70%,455,365
91766,24.90%,526,4.70%,421,6.30%,402,4.00%,429,447
91767,19.40%,246,1.40%,206,4.60%,209,7.20%,219,236
91768,9.70%,193,2.80%,176,7.20%,181,8.00%,195,212
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
91770,12.00%,354,7.10%,316,3.10%,295,3.10%,286,295
91773,64.40%,416,31.80%,253,9.10%,192,1.70%,176,173
91775,44.20%,75,20.90%,52,0.00%,43,17.30%,43,52
91776,18.60%,172,9.80%,145,3.10%,132,15.80%,128,152
91780,43.40%,142,13.80%,99,9.40%,87,5.00%,96,101
91789,85.70%,403,19.90%,217,5.20%,181,3.90%,172,179
91790,25.50%,182,5.20%,145,8.40%,153,6.70%,167,179
91791,67.00%,192,8.50%,115,1.00%,106,11.80%,105,119
91792,58.60%,111,18.60%,70,14.50%,59,13.80%,69,80
91801,13.10%,198,7.40%,175,5.80%,163,7.50%,173,187
91803,26.80%,161,0.80%,127,5.30%,126,5.70%,133,141
93510,74.10%,761,43.30%,437,53.30%,305,25.20%,199,159
93532,19.10%,511,13.80%,429,30.90%,377,37.10%,288,210
93534,98.70%,155,52.90%,78,5.60%,51,8.50%,54,59
93535,114.40%,386,33.30%,180,2.90%,135,11.20%,139,125
93536,98.60%,284,34.90%,143,0.90%,106,10.30%,107,97
93543,82.80%,181,76.80%,99,1.80%,56,3.50%,55,57
93544,44.70%,55,18.80%,38,6.70%,32,20.00%,30,25
93550,124.00%,522,17.10%,233,4.20%,199,13.00%,191,169
93551,76.70%,744,50.90%,421,22.40%,279,26.70%,228,180
93552,93.30%,230,58.70%,119,2.70%,75,4.30%,73,70
93553,77.50%,71,100.00%,40,11.10%,20,12.50%,18,16
93563,0.00%,10,25.00%,10,33.30%,8,20.00%,6,5
93591,67.60%,62,48.00%,37,13.60%,25,8.30%,22,24
93601,28.90%,308,16.00%,239,46.10%,206,31.80%,141,107
93604,17.80%,490,9.80%,416,51.00%,379,46.80%,251,171
93610,0.00%,17,70.00%,17,150.00%,10,0.00%,4,4
93614,38.20%,1412,23.00%,1022,54.20%,831,36.50%,539,395
93636,111.40%,74,150.00%,35,7.70%,14,333.30%,13,3
93637,117.60%,37,21.40%,17,40.00%,14,11.10%,10,9
93638,80.00%,90,78.60%,50,100.00%,28,0.00%,14,14
93643,1.80%,609,6.00%,598,11.20%,564,18.50%,507,428
93644,36.90%,1350,13.90%,986,38.30%,866,34.30%,626,466
93645,46.70%,44,0.00%,30,36.40%,30,10.00%,22,20
93653,30.30%,99,18.80%,76,12.30%,64,103.60%,57,28
93669,1.80%,109,0.90%,111,8.90%,110,18.80%,101,85
94901,163.30%,158,140.00%,60,8.70%,25,35.30%,23,17
94903,396.00%,124,56.30%,25,166.70%,16,0.00%,6,6
94904,104.80%,86,31.30%,42,3.00%,32,135.70%,33,14
94920,117.40%,50,64.30%,23,12.50%,14,33.30%,16,12
94924,40.00%,21,66.70%,15,125.00%,9,0.00%,4,4
94925,107.30%,85,36.70%,41,42.90%,30,50.00%,21,14
94929,150.00%,15,50.00%,6,33.30%,4,25.00%,3,4
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
94930,101.10%,179,58.90%,89,55.60%,56,44.00%,36,25
94933,6.50%,49,58.60%,46,20.80%,29,26.30%,24,19
94937,7.10%,270,21.70%,252,19.70%,207,31.10%,173,132
94938,65.40%,43,18.20%,26,37.50%,22,77.80%,16,9
94939,152.90%,86,36.00%,34,78.60%,25,40.00%,14,10
94940,28.60%,18,27.30%,14,37.50%,11,0.00%,8,8
94941,80.50%,565,23.20%,313,14.40%,254,25.40%,222,177
94945,168.30%,110,86.40%,41,37.50%,22,433.30%,16,3
94946,2.70%,38,19.40%,37,138.50%,31,44.40%,13,9
94947,244.40%,124,100.00%,36,200.00%,18,0.00%,6,6
94949,304.00%,101,31.60%,25,90.00%,19,233.30%,10,3
94956,6.30%,51,37.10%,48,40.00%,35,78.60%,25,14
