Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total Rainfall,SPI
2024,1.802,11.8465,4.004,0.7144999999999999,0.1305,0.0055,0.0005,0.0015,0.006,0.0175,0.0735,0.043,18.645,0.6469268358943306
2023,8.59421052631579,5.651052631578947,6.969500000000001,0.1545,0.7825,0.08549999999999999,0.0,3.8268421052631583,0.14947368421052631,0.02736842105263158,0.4794736842105263,2.9110526315789476,29.631473684210523,2.1881303890778887
2022,0.10166666666666667,0.095,1.3533333333333333,0.2927777777777778,0.021666666666666667,0.07277777777777777,0.0005555555555555556,0.0,0.4583333333333333,0.14,1.8066666666666669,2.895,7.237777777777778,-0.9533001273859874
2021,1.6045000000000003,0.22849999999999998,1.103,0.027500000000000004,0.029000000000000005,0.00368421052631579,0.08368421052631579,0.011,0.0245,0.6105,0.333,7.323,11.381868421052632,-0.3719591614208104
2020,0.221,0.274,4.1105,3.096,0.158,0.011,0.0,0.0,0.0010526315789473684,0.004999999999999999,0.11599999999999999,1.2755,9.268052631578946,-0.668489285567415
2019,6.067,5.9925,2.3305,0.0985,1.104,0.0445,0.006842105263157895,0.0,0.0295,0.0005,2.1544999999999996,4.6770000000000005,22.505342105263157,1.1884630139389973
2018,1.9600000000000002,0.2555,3.1875,0.040999999999999995,0.189,0.0015789473684210526,0.012105263157894735,0.0,0.0005263157894736842,0.493,1.455,2.2885,9.883710526315792,-0.5821236179121415
2017,7.8645,4.3405000000000005,0.8395000000000001,0.1345,0.302,0.0075,0.0015,0.0705,0.08449999999999999,0.018,0.07549999999999998,0.004210526315789474,13.742710526315788,-0.04077571296217151
2016,2.971,0.662,1.7704999999999997,0.666,0.25,0.0045,0.0,0.0,0.008,0.357,0.9625,3.7455,11.397,-0.3698364745688428
2015,1.115,0.631,0.8265,0.1645,1.008,0.0305,0.705,0.0,1.3215,0.3055,0.1585,0.765,7.031,-0.9823073097623053
2014,0.0325,2.864,0.9605,0.629,0.0015,0.001,0.009000000000000001,0.1565,0.072,0.157,0.6054999999999999,4.378500000000001,9.867000000000003,-0.5844678025225752
2013,1.34,0.35550000000000004,0.7495,0.024,0.352,0.007000000000000001,0.0305,0.005,0.006,0.1895,0.653,0.333,4.045,-1.4011891040563222
2012,0.9884999999999999,0.4875,1.8984999999999999,1.9300000000000002,0.0445,0.008,0.0165,0.0095,0.00631578947368421,0.25,0.9630000000000001,2.1414999999999997,8.743815789473684,-0.7420302330074959
2011,0.79,2.5521052631578947,4.319,0.067,0.4545,0.0335,0.017,0.007000000000000001,0.026000000000000002,0.859,1.688,0.8240000000000001,11.637105263157894,-0.33615404876475186
2010,5.88,4.622105263157894,0.5642105263157895,1.4047368421052633,0.07210526315789473,0.018947368421052633,0.024210526315789474,0.00368421052631579,0.00736842105263158,1.7257894736842105,0.7810526315789473,9.238947368421051,24.34315789473684,1.4462753299057127
2009,0.498421052631579,4.558947368421053,0.35736842105263156,0.049473684210526316,0.02736842105263158,0.08263157894736843,0.003684210526315789,0.14894736842105263,0.0015789473684210526,1.0626315789473686,0.027894736842105264,2.668421052631579,9.487368421052633,-0.6377232469164618
2008,8.273157894736842,1.8326315789473684,0.07315789473684212,0.0668421052631579,0.3877777777777778,0.00368421052631579,0.021578947368421055,0.0015789473684210526,0.007368421052631578,0.052105263157894745,1.891578947368421,2.6894736842105265,15.300935672514623,0.17781509251466204
2007,0.5284210526315789,1.3168421052631578,0.08578947368421053,0.5552631578947369,0.01263157894736842,0.006842105263157895,0.01368421052631579,0.009473684210526315,0.661578947368421,0.4594736842105263,0.7336842105263157,1.4047368421052633,5.78842105263158,-1.1566186624165766
2006,1.887894736842105,2.5431578947368423,2.8847368421052635,2.4210526315789473,0.6721052631578948,0.023157894736842106,0.02315789473684211,0.002631578947368421,0.002105263157894737,0.08842105263157896,0.1936842105263158,0.6005263157894737,11.342631578947369,-0.377463380718695
2005,9.132631578947368,10.737368421052631,1.8542105263157893,0.9642105263157895,0.3257894736842105,0.005789473684210527,0.010526315789473684,0.016842105263157894,0.25157894736842107,1.4073684210526316,0.3068421052631579,0.8184210526315789,25.831578947368417,1.655073883553169
2004,0.37631578947368416,5.090526315789473,1.4578947368421051,0.25578947368421057,0.005263157894736842,0.0010526315789473684,0.0,0.0,0.005263157894736842,5.127368421052632,0.5731578947368421,6.812105263157895,19.704736842105262,0.7955887481182181
2003,0.015263157894736845,5.378947368421053,2.9615789473684213,1.1421052631578947,1.2326315789473685,0.12000000000000001,0.060000000000000005,0.007894736842105263,0.00368421052631579,0.2905263157894737,0.5005263157894737,1.4689473684210526,13.182105263157895,-0.11941849210559002
2002,0.7861111111111111,0.23166666666666666,0.335,0.0811111111111111,0.11555555555555556,0.03055555555555555,0.10263157894736842,0.03894736842105263,0.08789473684210526,0.022105263157894735,1.739473684210526,2.372777777777778,5.943830409356725,-1.1348175404490257
2001,4.479444444444444,6.976666666666667,1.616111111111111,1.1,0.013333333333333332,0.00736842105263158,0.023157894736842106,0.0,0.006666666666666667,0.08666666666666667,1.6183333333333332,1.1258823529411766,17.05363089095287,0.42368653188169403
2000,0.87875,5.615625,2.4274999999999998,2.03875,0.064375,0.005294117647058823,0.0029411764705882353,0.06823529411764706,0.15529411764705883,1.4017647058823528,0.04125,0.014375,12.714154411764708,-0.18506353305434797
1999,1.6199999999999999,0.7825000000000001,1.535625,2.39375,0.03875,0.585625,0.123125,0.0,0.0033333333333333335,0.0,0.29875,0.17733333333333334,7.558791666666667,-0.9082676847298996
1998,3.3530769230769235,15.036153846153846,4.131538461538462,1.4023076923076923,3.230769230769231,0.13846153846153847,0.003076923076923077,0.08692307692307691,0.15307692307692308,0.023846153846153847,1.2692307692307692,0.46076923076923076,29.28923076923077,2.140119898015888
1997,5.17,0.18923076923076923,0.0,0.0015384615384615385,0.00923076923076923,0.01846153846153846,0.045384615384615384,0.0,0.5253846153846153,0.02307692307692308,2.382307692307692,4.357692307692307,12.722307692307691,-0.1839197752568841
1996,2.1461538461538465,5.233076923076923,1.9146153846153846,0.49076923076923074,0.03230769230769231,0.0,0.009230769230769232,0.014615384615384615,0.0015384615384615385,1.2038461538461538,1.6192307692307693,4.994166666666667,17.659551282051282,0.5086862038919537
1995,13.826923076923077,1.3369230769230769,7.021538461538461,0.8238461538461539,0.3107692307692308,0.7407692307692307,0.03538461538461539,0.0,0.0038461538461538464,0.0015384615384615385,0.2153846153846154,1.5530769230769232,25.87,1.6604636623425135
1994,0.4683333333333333,3.9675,1.7108333333333334,0.7133333333333334,0.2966666666666667,0.01,0.0,0.0,0.010833333333333334,0.5158333333333333,0.655,1.0783333333333334,9.426666666666666,-0.6462386051863842
1993,11.87090909090909,8.16090909090909,3.166363636363636,0.0,0.026363636363636363,0.9690909090909091,0.0,0.0,0.0009090909090909091,0.181,0.7618181818181818,0.9981818181818182,26.135545454545454,1.6977148868792247
1992,2.1999999999999997,9.411818181818182,6.781818181818181,0.21727272727272728,0.06727272727272728,0.007272727272727273,0.25636363636363635,0.0,0.0,0.9279999999999999,0.08181818181818182,5.589,25.540636363636366,1.6142599011317964
1991,1.4363636363636363,4.076,6.725454545454546,0.023636363636363636,0.00818181818181818,0.006363636363636364,0.1309090909090909,0.020999999999999998,0.060000000000000005,0.39999999999999997,0.02181818181818182,3.4990909090909095,16.40881818181818,0.3332309710692609
1990,1.7018181818181817,2.8663636363636367,0.18454545454545457,0.6081818181818182,0.8645454545454545,0.0,0.0,0.09727272727272727,0.018181818181818184,0.0,0.35545454545454547,0.05272727272727273,6.74909090909091,-1.0218540565231207
1989,0.9581818181818182,1.8081818181818183,0.7318181818181819,0.16272727272727272,0.09272727272727273,0.012727272727272728,0.0,0.0,0.43818181818181823,0.44181818181818183,0.3018181818181818,0.0,4.948181818181818,-1.2744890301870213
1988,2.212727272727273,2.0272727272727273,0.3318181818181818,2.4572727272727275,0.038181818181818185,0.006363636363636364,0.0018181818181818182,0.06909090909090909,0.04818181818181819,0.0018181818181818182,1.1036363636363637,4.05,12.348181818181818,-0.2364028688421699
1987,1.502727272727273,1.0936363636363635,1.1127272727272728,0.12000000000000001,0.033999999999999996,0.12727272727272726,0.08181818181818182,0.030000000000000002,0.07727272727272728,3.166363636363636,1.5718181818181818,2.923636363636364,11.841272727272727,-0.30751304618441666
1986,2.7227272727272727,4.979090909090909,4.424545454545455,0.5218181818181818,0.0,0.0,0.11181818181818182,0.0,1.3472727272727274,0.5236363636363637,1.1072727272727272,0.37999999999999995,16.118181818181817,0.2924599457889233
1985,0.6827272727272727,1.499090909090909,0.9427272727272726,0.03272727272727272,0.1481818181818182,0.0,0.010909090909090908,0.0,0.18999999999999997,0.35454545454545455,3.838181818181818,0.4254545454545454,8.124545454545453,-0.8289026606859268
1984,0.17,0.01,0.23454545454545456,0.5781818181818182,0.0,0.034545454545454546,0.06818181818181818,0.21363636363636365,0.2581818181818182,0.18363636363636363,1.7845454545454544,5.382727272727273,8.918181818181818,-0.717569832816878
